,ToZone,Trips,Hour
827,100521,1665.728933,h9
828,100522,721.623724,h9
829,100523,408.211813,h9
830,100524,274.392651,h9
831,100525,302.692664,h9
832,100526,471.982206,h9
833,100527,695.963486,h9
834,100528,716.404396,h9
835,100529,391.169221,h9
836,100530,468.68001,h9
837,100531,537.936571,h9
838,100532,264.01651,h9
839,100533,364.707469,h9
840,100534,429.868242,h9
841,100535,632.897152,h9
842,100536,449.917576,h9
843,100537,139.29691,h9
844,100538,2589.86028,h9
845,100539,1368.589862,h9
846,100540,771.730467,h9
847,100541,1750.527798,h9
848,100542,223.197534,h9
849,100543,543.897548,h9
850,100544,1896.114118,h9
851,100545,2154.629085,h9
852,100546,403.644514,h9
853,100547,1062.690414,h9
854,100548,1614.424794,h9
855,100549,1330.147093,h9
856,100550,146.432409,h9
857,100551,19.376332,h9
858,100552,40.606432,h9
859,100553,59.037562,h9
860,100554,287.908038,h9
861,100555,830.962126,h9
862,100556,116.095585,h9
863,100557,1470.083224,h9
864,100558,838.506101,h9
865,100559,722.408606,h9
866,100560,60.060318,h9
867,100561,152.676021,h9
868,100562,478.190475,h9
869,100563,649.38236,h9
870,100564,4.681152,h9
871,100565,1120.1777,h9
872,100566,453.002107,h9
873,100569,175.326916,h9
874,100570,192.105328,h9
875,100571,98.669778,h9
876,100572,307.138287,h9
877,100573,498.473633,h9
878,100574,765.4398,h9
879,100575,654.279341,h9
880,100576,328.730881,h9
881,100577,418.744434,h9
882,100578,892.100392,h9
883,100579,174.789963,h9
884,100580,554.639831,h9
885,100581,1498.61104,h9
886,100582,708.693962,h9
887,100583,143.605208,h9
888,100584,1594.298656,h9
889,100585,16.641896,h9
890,100586,340.451853,h9
891,100587,1729.563792,h9
892,100598,573.92179,h9
893,100667,436.287655,h9
894,100668,141.820734,h9
895,100669,250.657543,h9
896,100793,148.700561,h9
897,100799,928.915146,h9
898,101258,567.059683,h9
899,101260,991.102144,h9
900,100439,1620.143463,h10
901,100505,638.179423,h10
902,100506,275.758556,h10
903,100507,61.440462,h10
904,100508,287.405372,h10
905,100509,824.994258,h10
906,100510,327.486164,h10
907,100511,271.600832,h10
908,100512,332.476161,h10
909,100513,187.533405,h10
910,100514,725.889278,h10
911,100515,486.223263,h10
912,100516,377.42226,h10
913,100517,471.581598,h10
914,100518,2103.793849,h10
915,100519,765.056345,h10
916,100520,602.915839,h10
917,100521,1555.624898,h10
918,100522,808.799488,h10
919,100523,382.018908,h10
920,100524,250.657607,h10
921,100525,297.943855,h10
922,100526,520.829112,h10
923,100527,1761.221796,h10
924,100528,615.380515,h10
925,100529,336.008378,h10
926,100530,426.970512,h10
